,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.88,147.33,48.2,70,92,8.05,AU,1599760851
1,praia,14.92,-23.51,86.0,66,75,11.41,CV,1599761598
2,arraial do cabo,-22.97,-42.03,84.2,58,54,20.8,BR,1599760985
3,puerto ayora,-0.74,-90.35,75.2,60,40,19.46,EC,1599760886
4,kapaa,22.08,-159.32,80.6,69,40,13.87,US,1599761049
5,el carmen,8.51,-73.45,82.54,67,24,2.55,CO,1599761600
6,punta arenas,-53.15,-70.92,44.6,65,98,6.93,CL,1599761381
7,havelock,34.88,-76.9,81.0,79,98,11.23,US,1599761600
8,vaini,-21.2,-175.2,71.6,88,40,11.41,TO,1599761601
9,virginia beach,36.85,-75.98,80.01,96,100,1.99,US,1599761544
10,chokurdakh,70.63,147.92,39.97,81,5,5.08,RU,1599761039
11,sur,22.57,59.53,85.42,57,0,10.85,OM,1599761601
12,rikitea,-23.12,-134.97,73.49,83,100,21.21,PF,1599761597
13,new norfolk,-42.78,147.06,46.0,70,99,3.94,AU,1599761041
14,inirida,3.87,-67.92,92.73,50,58,2.66,CO,1599761602
15,alad,12.62,122.25,83.28,78,64,8.43,PH,1599761602
16,aklavik,68.22,-135.01,37.4,86,90,6.93,CA,1599761602
17,hithadhoo,-0.6,73.08,81.86,77,73,13.4,MV,1599761037
18,esperance,-33.87,121.9,46.4,93,75,4.7,AU,1599761038
19,busselton,-33.65,115.33,44.01,78,68,3.06,AU,1599761040
20,bluff,-46.6,168.33,39.0,88,91,1.01,NZ,1599760866
21,yuanping,38.72,112.76,54.45,68,0,4.07,CN,1599761603
22,tuatapere,-46.13,167.68,39.0,88,85,1.01,NZ,1599761079
23,zhuhai,22.28,113.57,84.2,83,20,8.05,CN,1599761603
24,asfi,32.3,-9.24,74.55,77,17,18.41,MA,1599761604
25,albany,42.6,-73.97,72.0,88,90,3.36,US,1599760809
26,mar del plata,-38.0,-57.56,59.0,44,0,12.75,AR,1599761062
27,kysyl-syr,63.9,122.76,48.94,86,100,4.74,RU,1599761053
28,coquimbo,-29.95,-71.34,62.6,63,0,13.87,CL,1599761034
29,chuy,-33.7,-53.46,62.15,60,0,6.8,UY,1599761037
30,banswada,18.38,77.88,76.24,86,100,2.04,IN,1599761604
31,port alfred,-33.59,26.89,62.65,85,100,19.46,ZA,1599761059
32,atuona,-9.8,-139.03,77.74,75,4,21.0,PF,1599761037
33,beloha,-25.17,45.05,76.32,60,91,8.23,MG,1599761605
34,acajutla,13.59,-89.83,86.0,66,20,2.24,SV,1599761365
35,richmond,37.55,-77.46,86.0,79,75,9.17,US,1599761313
36,hermanus,-34.42,19.23,57.99,90,100,5.01,ZA,1599761605
37,carnarvon,-24.87,113.63,66.2,88,0,18.34,AU,1599761058
